date_period,orig_country,lang_family,lang_branch,orig_lang,dest_continent,dest_country,num_results
1/1/07,mx,Indo-European,Romance,es,ASIA,Iraq,25100
1/1/07,mx,Indo-European,Romance,es,ASIA,Israel,16900
1/1/07,mx,Indo-European,Romance,es,ASIA,Jordan,2390
1/1/07,mx,Indo-European,Romance,es,ASIA,Kuwait,1110
1/1/07,mx,Indo-European,Romance,es,ASIA,Lebanon,4980
1/1/07,mx,Indo-European,Romance,es,AFRICA,Libya,1880
1/1/07,mx,Indo-European,Romance,es,AFRICA,Morocco,4900
1/1/07,mx,Indo-European,Romance,es,ASIA,Oman,208
1/1/07,mx,Indo-European,Romance,es,ASIA,Qatar,2180
1/1/07,mx,Indo-European,Romance,es,ASIA,Saudi Arabia,2210
1/1/07,mx,Indo-European,Romance,es,ASIA,Syria,4030
1/1/07,mx,Indo-European,Romance,es,AFRICA,Tunisia,1270
1/1/07,mx,Indo-European,Romance,es,ASIA,West Bank,3833
1/1/07,mx,Indo-European,Romance,es,ASIA,Yemen,731
1/1/07,mx,Indo-European,Romance,es,S_AMERICA,Argentina,90300
1/1/07,mx,Indo-European,Romance,es,S_AMERICA,Bolivia,31600
1/1/07,mx,Indo-European,Romance,es,S_AMERICA,Brazil,54900
1/1/07,mx,Indo-European,Romance,es,S_AMERICA,Chile,47400
1/1/07,mx,Indo-European,Romance,es,S_AMERICA,Colombia,46000
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Costa Rica,13200
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Cuba,24900
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Dominican Republic,14400
1/1/07,mx,Indo-European,Romance,es,S_AMERICA,Ecuador,40600
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Guatemala,13700
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Honduras,9450
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Haiti,4850
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Jamaica,2620
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Mexico,84600
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Nicaragua,15800
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Panama,22100
1/1/07,mx,Indo-European,Romance,es,S_AMERICA,Peru,36800
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Puerto Rico,7030
1/1/07,mx,Indo-European,Romance,es,S_AMERICA,Paraguay,17600
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,El Salvador,27200
1/1/07,mx,Indo-European,Romance,es,S_AMERICA,Uruguay,42000
1/1/07,mx,Indo-European,Romance,es,S_AMERICA,Venezuela,56200
1/1/07,mx,Indo-European,Romance,es,EUROPE,Albania,571
1/1/07,mx,Indo-European,Romance,es,EUROPE,Armenia,946
1/1/07,mx,Indo-European,Romance,es,EUROPE,Austria,5740
1/1/07,mx,Indo-European,Romance,es,EUROPE,Azerbaijan,69
1/1/07,mx,Indo-European,Romance,es,EUROPE,Belgium,5810
1/1/07,mx,Indo-European,Romance,es,EUROPE,Bulgaria,2210
1/1/07,mx,Indo-European,Romance,es,EUROPE,Bosnia and Herzegovina,193
1/1/07,mx,Indo-European,Romance,es,EUROPE,Belarus,1130
1/1/07,mx,Indo-European,Romance,es,EUROPE,Switzerland,11400
1/1/07,mx,Indo-European,Romance,es,EUROPE,Czech Republic,4410
1/1/07,mx,Indo-European,Romance,es,EUROPE,Germany,30200
1/1/07,mx,Indo-European,Romance,es,EUROPE,Denmark,4290
1/1/07,mx,Indo-European,Romance,es,EUROPE,Spain,130000
1/1/07,mx,Indo-European,Romance,es,EUROPE,Estonia,1140
1/1/07,mx,Indo-European,Romance,es,EUROPE,Finland,3410
1/1/07,mx,Indo-European,Romance,es,EUROPE,France,42600
1/1/07,mx,Indo-European,Romance,es,EUROPE,United Kingdom,15500
1/1/07,mx,Indo-European,Romance,es,EUROPE,Georgia,2310
1/1/07,mx,Indo-European,Romance,es,EUROPE,Greece,5460
1/1/07,mx,Indo-European,Romance,es,N_AMERICA,Greenland,172
1/1/07,mx,Indo-European,Romance,es,EUROPE,Croatia,2430
1/1/07,mx,Indo-European,Romance,es,EUROPE,Hungary,2920
1/1/07,mx,Indo-European,Romance,es,EUROPE,Ireland,5590
1/1/07,mx,Indo-European,Romance,es,EUROPE,Italy,27400
1/1/07,mx,Indo-European,Romance,es,ASIA,Kazakhstan,178
1/1/07,mx,Indo-European,Romance,es,ASIA,Kyrgyzstan,71
1/1/07,mx,Indo-European,Romance,es,EUROPE,Lithuania,1360
1/1/07,mx,Indo-European,Romance,es,EUROPE,Macedonia,562
1/1/07,mx,Indo-European,Romance,es,EUROPE,Netherlands,3290
1/1/07,mx,Indo-European,Romance,es,EUROPE,Norway,4240
1/1/07,mx,Indo-European,Romance,es,EUROPE,Poland,6920
1/1/07,mx,Indo-European,Romance,es,EUROPE,Portugal,13200
1/1/07,mx,Indo-European,Romance,es,EUROPE,Romania,3350
1/1/07,mx,Indo-European,Romance,es,EUROPE,Russia,19100
1/1/07,mx,Indo-European,Romance,es,EUROPE,Serbia,4090
1/1/07,mx,Indo-European,Romance,es,EUROPE,Slovakia,1210
1/1/07,mx,Indo-European,Romance,es,EUROPE,Slovenia,1380
1/1/07,mx,Indo-European,Romance,es,EUROPE,Sweden,5790
1/1/07,mx,Indo-European,Romance,es,ASIA,Tajikistan,88
1/1/07,mx,Indo-European,Romance,es,ASIA,Turkmenistan,83
1/1/07,mx,Indo-European,Romance,es,ASIA,Turkey,7140
1/1/07,mx,Indo-European,Romance,es,EUROPE,Ukraine,2640
1/1/07,mx,Indo-European,Romance,es,ASIA,Uzbekistan,176
1/1/07,mx,Indo-European,Romance,es,OCEANIA,Australia,13400
1/1/07,mx,Indo-European,Romance,es,ASIA,China,34200
1/1/07,mx,Indo-European,Romance,es,ASIA,Hong Kong,3410
1/1/07,mx,Indo-European,Romance,es,ASIA,Indonesia,4240
1/1/07,mx,Indo-European,Romance,es,ASIA,Japan,22700
1/1/07,mx,Indo-European,Romance,es,ASIA,Cambodia,798
1/1/07,mx,Indo-European,Romance,es,ASIA,South Korea,6190
1/1/07,mx,Indo-European,Romance,es,ASIA,Laos,182
1/1/07,mx,Indo-European,Romance,es,ASIA,Macau,786
1/1/07,mx,Indo-European,Romance,es,ASIA,Myanmar,1250
1/1/07,mx,Indo-European,Romance,es,ASIA,Mongolia,168
1/1/07,mx,Indo-European,Romance,es,ASIA,Malaysia,2320
1/1/07,mx,Indo-European,Romance,es,OCEANIA,New Zealand,124
1/1/07,mx,Indo-European,Romance,es,ASIA,Philippines,2250
1/1/07,mx,Indo-European,Romance,es,OCEANIA,Papua New Guinea,112
1/1/07,mx,Indo-European,Romance,es,ASIA,North Korea,3820
1/1/07,mx,Indo-European,Romance,es,ASIA,Singapore,2600
1/1/07,mx,Indo-European,Romance,es,ASIA,Thailand,2480
1/1/07,mx,Indo-European,Romance,es,ASIA,Vietnam,3380
1/1/07,mx,Indo-European,Romance,es,ASIA,Taiwan,1070
1/1/07,mx,Indo-European,Romance,es,S_AMERICA,French Guiana,63
1/1/07,mx,Indo-European,Romance,es,AFRICA,South Sudan,210
2/1/07,mx,Indo-European,Romance,es,AFRICA,Angola,1030
2/1/07,mx,Indo-European,Romance,es,AFRICA,Burundi,135
2/1/07,mx,Indo-European,Romance,es,AFRICA,Benin,69
2/1/07,mx,Indo-European,Romance,es,AFRICA,Burkina Faso,144
2/1/07,mx,Indo-European,Romance,es,AFRICA,Botswana,68
2/1/07,mx,Indo-European,Romance,es,AFRICA,Central African Republic,116
2/1/07,mx,Indo-European,Romance,es,AFRICA,Cote d'Ivoire,707
2/1/07,mx,Indo-European,Romance,es,AFRICA,Cameroon,723
2/1/07,mx,Indo-European,Romance,es,AFRICA,Republic of the Congo,493
2/1/07,mx,Indo-European,Romance,es,AFRICA,Eritrea,151
2/1/07,mx,Indo-European,Romance,es,AFRICA,Ethiopia,1230
2/1/07,mx,Indo-European,Romance,es,AFRICA,Gabon,96
2/1/07,mx,Indo-European,Romance,es,AFRICA,Ghana,1070
2/1/07,mx,Indo-European,Romance,es,AFRICA,Guinea,1250
2/1/07,mx,Indo-European,Romance,es,AFRICA,Gambia,207
2/1/07,mx,Indo-European,Romance,es,AFRICA,Guinea-Bissau,143
2/1/07,mx,Indo-European,Romance,es,AFRICA,Kenya,224
2/1/07,mx,Indo-European,Romance,es,AFRICA,Liberia,802
2/1/07,mx,Indo-European,Romance,es,AFRICA,Lesotho,62
2/1/07,mx,Indo-European,Romance,es,AFRICA,Madagascar,140
2/1/07,mx,Indo-European,Romance,es,AFRICA,Mali,697
2/1/07,mx,Indo-European,Romance,es,AFRICA,Mozambique,536
2/1/07,mx,Indo-European,Romance,es,AFRICA,Mauritania,1070
2/1/07,mx,Indo-European,Romance,es,AFRICA,Mauritius,14700
2/1/07,mx,Indo-European,Romance,es,AFRICA,Malawi,123
2/1/07,mx,Indo-European,Romance,es,AFRICA,Namibia,790
2/1/07,mx,Indo-European,Romance,es,AFRICA,Niger,241
2/1/07,mx,Indo-European,Romance,es,AFRICA,Nigeria,2660
2/1/07,mx,Indo-European,Romance,es,AFRICA,Rwanda,233
2/1/07,mx,Indo-European,Romance,es,AFRICA,Sudan,2400
2/1/07,mx,Indo-European,Romance,es,AFRICA,Senegal,1330
2/1/07,mx,Indo-European,Romance,es,AFRICA,Sierra Leone,560
2/1/07,mx,Indo-European,Romance,es,AFRICA,Somalia,1480
2/1/07,mx,Indo-European,Romance,es,AFRICA,Chad,1960
2/1/07,mx,Indo-European,Romance,es,AFRICA,Togo,136
2/1/07,mx,Indo-European,Romance,es,AFRICA,Tanzania,631
2/1/07,mx,Indo-European,Romance,es,AFRICA,Uganda,691
2/1/07,mx,Indo-European,Romance,es,AFRICA,South Africa,8550
2/1/07,mx,Indo-European,Romance,es,AFRICA,Democratic Republic of the Congo,512
2/1/07,mx,Indo-European,Romance,es,AFRICA,Zambia,501
2/1/07,mx,Indo-European,Romance,es,AFRICA,Zimbabwe,205
2/1/07,mx,Indo-European,Romance,es,ASIA,Afghanistan,10500
2/1/07,mx,Indo-European,Romance,es,ASIA,Bangladesh,1020
2/1/07,mx,Indo-European,Romance,es,ASIA,Bhutan,33
2/1/07,mx,Indo-European,Romance,es,ASIA,India,11200
2/1/07,mx,Indo-European,Romance,es,ASIA,Sri Lanka,752
2/1/07,mx,Indo-European,Romance,es,ASIA,Nepal,707
2/1/07,mx,Indo-European,Romance,es,ASIA,Pakistan,6110
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Canada,17600
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,United States,47275
2/1/07,mx,Indo-European,Romance,es,ASIA,United Arab Emirates,1300
2/1/07,mx,Indo-European,Romance,es,AFRICA,Algeria,2700
2/1/07,mx,Indo-European,Romance,es,AFRICA,Egypt,4930
2/1/07,mx,Indo-European,Romance,es,ASIA,Iran,23100
2/1/07,mx,Indo-European,Romance,es,ASIA,Iraq,25100
2/1/07,mx,Indo-European,Romance,es,ASIA,Israel,16900
2/1/07,mx,Indo-European,Romance,es,ASIA,Jordan,2390
2/1/07,mx,Indo-European,Romance,es,ASIA,Kuwait,1110
2/1/07,mx,Indo-European,Romance,es,ASIA,Lebanon,4980
2/1/07,mx,Indo-European,Romance,es,AFRICA,Libya,1880
2/1/07,mx,Indo-European,Romance,es,AFRICA,Morocco,4900
2/1/07,mx,Indo-European,Romance,es,ASIA,Oman,208
2/1/07,mx,Indo-European,Romance,es,ASIA,Qatar,2180
2/1/07,mx,Indo-European,Romance,es,ASIA,Saudi Arabia,2210
2/1/07,mx,Indo-European,Romance,es,ASIA,Syria,4030
2/1/07,mx,Indo-European,Romance,es,AFRICA,Tunisia,1270
2/1/07,mx,Indo-European,Romance,es,ASIA,West Bank,3780
2/1/07,mx,Indo-European,Romance,es,ASIA,Yemen,731
2/1/07,mx,Indo-European,Romance,es,S_AMERICA,Argentina,90300
2/1/07,mx,Indo-European,Romance,es,S_AMERICA,Bolivia,31600
2/1/07,mx,Indo-European,Romance,es,S_AMERICA,Brazil,54900
2/1/07,mx,Indo-European,Romance,es,S_AMERICA,Chile,47400
2/1/07,mx,Indo-European,Romance,es,S_AMERICA,Colombia,46000
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Costa Rica,13200
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Cuba,24900
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Dominican Republic,14400
2/1/07,mx,Indo-European,Romance,es,S_AMERICA,Ecuador,40600
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Guatemala,13700
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Honduras,9450
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Haiti,4850
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Jamaica,2620
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Mexico,84600
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Nicaragua,15800
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Panama,31500
2/1/07,mx,Indo-European,Romance,es,S_AMERICA,Peru,36800
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Puerto Rico,7030
2/1/07,mx,Indo-European,Romance,es,S_AMERICA,Paraguay,17600
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,El Salvador,27200
2/1/07,mx,Indo-European,Romance,es,S_AMERICA,Uruguay,42000
2/1/07,mx,Indo-European,Romance,es,S_AMERICA,Venezuela,56200
2/1/07,mx,Indo-European,Romance,es,EUROPE,Albania,571
2/1/07,mx,Indo-European,Romance,es,EUROPE,Armenia,946
2/1/07,mx,Indo-European,Romance,es,EUROPE,Austria,5740
2/1/07,mx,Indo-European,Romance,es,EUROPE,Azerbaijan,69
2/1/07,mx,Indo-European,Romance,es,EUROPE,Belgium,5810
2/1/07,mx,Indo-European,Romance,es,EUROPE,Bulgaria,2210
2/1/07,mx,Indo-European,Romance,es,EUROPE,Bosnia and Herzegovina,193
2/1/07,mx,Indo-European,Romance,es,EUROPE,Belarus,1130
2/1/07,mx,Indo-European,Romance,es,EUROPE,Switzerland,11400
2/1/07,mx,Indo-European,Romance,es,EUROPE,Czech Republic,4410
2/1/07,mx,Indo-European,Romance,es,EUROPE,Germany,30200
2/1/07,mx,Indo-European,Romance,es,EUROPE,Denmark,4290
2/1/07,mx,Indo-European,Romance,es,EUROPE,Spain,130000
2/1/07,mx,Indo-European,Romance,es,EUROPE,Estonia,1140
2/1/07,mx,Indo-European,Romance,es,EUROPE,Finland,3410
2/1/07,mx,Indo-European,Romance,es,EUROPE,France,42600
2/1/07,mx,Indo-European,Romance,es,EUROPE,United Kingdom,15500
2/1/07,mx,Indo-European,Romance,es,EUROPE,Georgia,2310
2/1/07,mx,Indo-European,Romance,es,EUROPE,Greece,5460
2/1/07,mx,Indo-European,Romance,es,N_AMERICA,Greenland,172
2/1/07,mx,Indo-European,Romance,es,EUROPE,Croatia,2430
2/1/07,mx,Indo-European,Romance,es,EUROPE,Hungary,2920
2/1/07,mx,Indo-European,Romance,es,EUROPE,Ireland,5590
2/1/07,mx,Indo-European,Romance,es,EUROPE,Italy,27400
2/1/07,mx,Indo-European,Romance,es,ASIA,Kazakhstan,174
2/1/07,mx,Indo-European,Romance,es,ASIA,Kyrgyzstan,71
2/1/07,mx,Indo-European,Romance,es,EUROPE,Lithuania,1360
2/1/07,mx,Indo-European,Romance,es,EUROPE,Macedonia,562
2/1/07,mx,Indo-European,Romance,es,EUROPE,Netherlands,3290
2/1/07,mx,Indo-European,Romance,es,EUROPE,Norway,4240
2/1/07,mx,Indo-European,Romance,es,EUROPE,Poland,6920
2/1/07,mx,Indo-European,Romance,es,EUROPE,Portugal,13200
2/1/07,mx,Indo-European,Romance,es,EUROPE,Romania,3350
2/1/07,mx,Indo-European,Romance,es,EUROPE,Russia,19100
2/1/07,mx,Indo-European,Romance,es,EUROPE,Serbia,4090
2/1/07,mx,Indo-European,Romance,es,EUROPE,Slovakia,1210
2/1/07,mx,Indo-European,Romance,es,EUROPE,Slovenia,1380
2/1/07,mx,Indo-European,Romance,es,EUROPE,Sweden,5790
2/1/07,mx,Indo-European,Romance,es,ASIA,Tajikistan,88
2/1/07,mx,Indo-European,Romance,es,ASIA,Turkmenistan,83
2/1/07,mx,Indo-European,Romance,es,ASIA,Turkey,7140
2/1/07,mx,Indo-European,Romance,es,EUROPE,Ukraine,2640
2/1/07,mx,Indo-European,Romance,es,ASIA,Uzbekistan,176
2/1/07,mx,Indo-European,Romance,es,OCEANIA,Australia,13400
2/1/07,mx,Indo-European,Romance,es,ASIA,China,34200
2/1/07,mx,Indo-European,Romance,es,ASIA,Hong Kong,3410
2/1/07,mx,Indo-European,Romance,es,ASIA,Indonesia,4240
2/1/07,mx,Indo-European,Romance,es,ASIA,Japan,22700
2/1/07,mx,Indo-European,Romance,es,ASIA,Cambodia,798
2/1/07,mx,Indo-European,Romance,es,ASIA,South Korea,6190
2/1/07,mx,Indo-European,Romance,es,ASIA,Laos,182
2/1/07,mx,Indo-European,Romance,es,ASIA,Macau,786
2/1/07,mx,Indo-European,Romance,es,ASIA,Myanmar,1250
2/1/07,mx,Indo-European,Romance,es,ASIA,Mongolia,168
2/1/07,mx,Indo-European,Romance,es,ASIA,Malaysia,2320
2/1/07,mx,Indo-European,Romance,es,OCEANIA,New Zealand,124
2/1/07,mx,Indo-European,Romance,es,ASIA,Philippines,2250
2/1/07,mx,Indo-European,Romance,es,OCEANIA,Papua New Guinea,112
2/1/07,mx,Indo-European,Romance,es,ASIA,North Korea,3820
2/1/07,mx,Indo-European,Romance,es,ASIA,Singapore,2600
2/1/07,mx,Indo-European,Romance,es,ASIA,Thailand,2480
2/1/07,mx,Indo-European,Romance,es,ASIA,Vietnam,3380
2/1/07,mx,Indo-European,Romance,es,ASIA,Taiwan,1070
2/1/07,mx,Indo-European,Romance,es,S_AMERICA,French Guiana,63
2/1/07,mx,Indo-European,Romance,es,AFRICA,South Sudan,210
3/1/07,mx,Indo-European,Romance,es,AFRICA,Angola,1030
3/1/07,mx,Indo-European,Romance,es,AFRICA,Burundi,135
3/1/07,mx,Indo-European,Romance,es,AFRICA,Benin,69
3/1/07,mx,Indo-European,Romance,es,AFRICA,Burkina Faso,144
3/1/07,mx,Indo-European,Romance,es,AFRICA,Botswana,68
3/1/07,mx,Indo-European,Romance,es,AFRICA,Central African Republic,116
3/1/07,mx,Indo-European,Romance,es,AFRICA,Cote d'Ivoire,707
3/1/07,mx,Indo-European,Romance,es,AFRICA,Cameroon,723
3/1/07,mx,Indo-European,Romance,es,AFRICA,Republic of the Congo,493
3/1/07,mx,Indo-European,Romance,es,AFRICA,Eritrea,151
3/1/07,mx,Indo-European,Romance,es,AFRICA,Ethiopia,1230
3/1/07,mx,Indo-European,Romance,es,AFRICA,Gabon,96
3/1/07,mx,Indo-European,Romance,es,AFRICA,Ghana,1070
3/1/07,mx,Indo-European,Romance,es,AFRICA,Guinea,1250
3/1/07,mx,Indo-European,Romance,es,AFRICA,Gambia,207
3/1/07,mx,Indo-European,Romance,es,AFRICA,Guinea-Bissau,143
3/1/07,mx,Indo-European,Romance,es,AFRICA,Kenya,224
3/1/07,mx,Indo-European,Romance,es,AFRICA,Liberia,802
3/1/07,mx,Indo-European,Romance,es,AFRICA,Lesotho,62
3/1/07,mx,Indo-European,Romance,es,AFRICA,Madagascar,140
3/1/07,mx,Indo-European,Romance,es,AFRICA,Mali,697
3/1/07,mx,Indo-European,Romance,es,AFRICA,Mozambique,536
3/1/07,mx,Indo-European,Romance,es,AFRICA,Mauritania,1070
3/1/07,mx,Indo-European,Romance,es,AFRICA,Mauritius,14700
3/1/07,mx,Indo-European,Romance,es,AFRICA,Malawi,123
3/1/07,mx,Indo-European,Romance,es,AFRICA,Namibia,790
3/1/07,mx,Indo-European,Romance,es,AFRICA,Niger,241
3/1/07,mx,Indo-European,Romance,es,AFRICA,Nigeria,2660
3/1/07,mx,Indo-European,Romance,es,AFRICA,Rwanda,233
3/1/07,mx,Indo-European,Romance,es,AFRICA,Sudan,2400
3/1/07,mx,Indo-European,Romance,es,AFRICA,Senegal,1330
3/1/07,mx,Indo-European,Romance,es,AFRICA,Sierra Leone,560
3/1/07,mx,Indo-European,Romance,es,AFRICA,Somalia,1480
3/1/07,mx,Indo-European,Romance,es,AFRICA,Chad,1960
3/1/07,mx,Indo-European,Romance,es,AFRICA,Togo,136
3/1/07,mx,Indo-European,Romance,es,AFRICA,Tanzania,631
3/1/07,mx,Indo-European,Romance,es,AFRICA,Uganda,691
3/1/07,mx,Indo-European,Romance,es,AFRICA,South Africa,8550
3/1/07,mx,Indo-European,Romance,es,AFRICA,Democratic Republic of the Congo,512
3/1/07,mx,Indo-European,Romance,es,AFRICA,Zambia,501
3/1/07,mx,Indo-European,Romance,es,AFRICA,Zimbabwe,205
3/1/07,mx,Indo-European,Romance,es,ASIA,Afghanistan,10500
3/1/07,mx,Indo-European,Romance,es,ASIA,Bangladesh,1020
3/1/07,mx,Indo-European,Romance,es,ASIA,Bhutan,33
3/1/07,mx,Indo-European,Romance,es,ASIA,India,11200
3/1/07,mx,Indo-European,Romance,es,ASIA,Sri Lanka,752
3/1/07,mx,Indo-European,Romance,es,ASIA,Nepal,707
3/1/07,mx,Indo-European,Romance,es,ASIA,Pakistan,6110
3/1/07,mx,Indo-European,Romance,es,N_AMERICA,Canada,17600
3/1/07,mx,Indo-European,Romance,es,N_AMERICA,United States,47275
3/1/07,mx,Indo-European,Romance,es,ASIA,United Arab Emirates,1300
3/1/07,mx,Indo-European,Romance,es,AFRICA,Algeria,2700
3/1/07,mx,Indo-European,Romance,es,AFRICA,Egypt,4930
3/1/07,mx,Indo-European,Romance,es,ASIA,Iran,23100
3/1/07,mx,Indo-European,Romance,es,ASIA,Iraq,25100
3/1/07,mx,Indo-European,Romance,es,ASIA,Israel,16900
3/1/07,mx,Indo-European,Romance,es,ASIA,Jordan,2390
3/1/07,mx,Indo-European,Romance,es,ASIA,Kuwait,1110
3/1/07,mx,Indo-European,Romance,es,ASIA,Lebanon,4980
3/1/07,mx,Indo-European,Romance,es,AFRICA,Libya,1880
3/1/07,mx,Indo-European,Romance,es,AFRICA,Morocco,4900
3/1/07,mx,Indo-European,Romance,es,ASIA,Oman,193
3/1/07,mx,Indo-European,Romance,es,ASIA,Qatar,2180
3/1/07,mx,Indo-European,Romance,es,ASIA,Saudi Arabia,2210
3/1/07,mx,Indo-European,Romance,es,ASIA,Syria,4030
3/1/07,mx,Indo-European,Romance,es,AFRICA,Tunisia,1270
3/1/07,mx,Indo-European,Romance,es,ASIA,West Bank,3833
3/1/07,mx,Indo-European,Romance,es,ASIA,Yemen,731
3/1/07,mx,Indo-European,Romance,es,S_AMERICA,Argentina,90300
3/1/07,mx,Indo-European,Romance,es,S_AMERICA,Bolivia,31600
3/1/07,mx,Indo-European,Romance,es,S_AMERICA,Brazil,54900
3/1/07,mx,Indo-European,Romance,es,S_AMERICA,Chile,47400
3/1/07,mx,Indo-European,Romance,es,S_AMERICA,Colombia,46000
3/1/07,mx,Indo-European,Romance,es,N_AMERICA,Costa Rica,13200
3/1/07,mx,Indo-European,Romance,es,N_AMERICA,Cuba,24900
3/1/07,mx,Indo-European,Romance,es,N_AMERICA,Dominican Republic,13300
3/1/07,mx,Indo-European,Romance,es,S_AMERICA,Ecuador,40600
3/1/07,mx,Indo-European,Romance,es,N_AMERICA,Guatemala,13700
3/1/07,mx,Indo-European,Romance,es,N_AMERICA,Honduras,9450
3/1/07,mx,Indo-European,Romance,es,N_AMERICA,Haiti,4850
3/1/07,mx,Indo-European,Romance,es,N_AMERICA,Jamaica,2620
3/1/07,mx,Indo-European,Romance,es,N_AMERICA,Mexico,84600
3/1/07,mx,Indo-European,Romance,es,N_AMERICA,Nicaragua,15800
3/1/07,mx,Indo-European,Romance,es,N_AMERICA,Panama,31500
