country	gdp	pop	latitude	longitude
UG	1317.258	35873253	2.0	33.0
UA	7233.151	44854065	49.0	32.0
AE	48157.836	5314317	24.0	54.0
GB	36089.595	63047162	54.0	-4.0
US	48386.686	313847465	39.828175	-98.5795
UY	15112.562	3316328	-33.0	-56.0
UZ	3302.102	28394180	41.707542	63.84911
VE	12568.029	28047938	8.0	-66.0
VN	3358.671	91519289	16.166667	107.833333
YE	2306.695	24771809	15.5	47.5
ZM	1610.722	14309466	-15.0	30.0
ZW	487.197	12619600	-19.0	29.0
